Frase,Categoria_Atribuida,Score_Similaridade
Accept little from others.,Agreeableness-,0.58458100
Accept others' weaknesses.,Agreeableness-,0.45958500
Act at the expense of others.,Agreeableness-,0.51017400
Act before thinking through the consequences.,Agreeableness-,0.419268
Act contrary to reason.,Agreeableness-,0.5305060
Act like people older than me.,Agreeableness-,0.39672100
Actually get cold when I think of something cold.,Agreeableness-,0.38533300
Admit when I am wrong.,Agreeableness-,0.3854260
Am a bitter person.,Agreeableness-,0.512821
Am a cold-hearted person.,Agreeableness-,0.5456280
Am a good loser.,Agreeableness-,0.31162500
Am a mean-spirited person.,Agreeableness-,0.5005420
Ama negative type of person.,Agreeableness-,0.57858100
Am a rebel.,Agreeableness-,0.3573440
Am a vindictive person.,Agreeableness-,0.49506400
Am annoyed by others' mistakes.,Agreeableness-,0.49436600
Am considered by others to be weird.,Agreeableness-,0.38106400
Am hard to convince.,Agreeableness-,0.45598300
Am hard to reason with.,Agreeableness-,0.48442500
Am hard to satisfy.,Agreeableness-,0.512703
Am nice to people I should be angry at.,Agreeableness-,0.4622480
Am not a sympathetic person.,Agreeableness-,0.5833860
Am not as tactful as I should be.,Agreeableness-,0.48194800
Am not concerned with making a good impression.,Agreeableness-,0.3989000
Am not considered attractive by others.,Agreeableness-,0.335538
Am not easily fooled by others.,Agreeableness-,0.43781900
Am not good at deceiving other people.,Agreeableness-,0.42398500
Am not good at getting people to like me.,Agreeableness-,0.29825600
Am not good at hiding my intentions from others.,Agreeableness-,0.47733000
Am not good at judging people.,Agreeableness-,0.45502800
Am not interested in other people's problems.,Agreeableness-,0.27708100
Am often accused of being narrow-minded.,Agreeableness-,0.46552700
Am often asked by friends and family to help resolve fights.,Agreeableness-,0.2849360
Am often being lied to.,Agreeableness-,0.33091500
Am often disappointed by people.,Agreeableness-,0.4622170
Am often exploited by others.,Agreeableness-,0.4077750
Am often just used by people instead of being treated as a person.,Agreeableness-,0.33705600
Am patient with people who annoy me.,Agreeableness-,0.41857200
Am quick to blame others when I get into trouble.,Agreeableness-,0.33707400
Am quick to judge others.,Agreeableness-,0.46635600
Am quick to think others don't like me.,Agreeableness-,0.4317910
Am taken advantage of by others.,Agreeableness-,0.44698300
Am told that I am too blunt.,Agreeableness-,0.49596500
Am told that things I say are not polite.,Agreeableness-,0.47974600
Am unwilling to accept apologies.,Agreeableness-,0.43430800
Am upset by the misfortunes of strangers.,Agreeableness-,0.59048600
